Packageid,HouseName,Facade,Brand,Storey,CarSpaces,Price,Study,Ensuite,BedRooms,BathRooms,LandSize,BlockType,HouseSize
189951,Vermont,Strider,Gen,Single,2,397139,0,1,4,2,660,Irregular,251
191453,Carlton,Haring,Gen,Single,2,731295,0,1,4,2,511,Irregular,218
191454,Kooyong,Dowd,Gen,Single,2,738395,0,1,4,2,511,Irregular,224
191455,Mckinnon,Rainforest,Gen,Double,2,853595,1,1,5,2,511,Irregular,340
191456,Ashwood,Matisse,Gen,Double,2,849395,1,1,4,2,511,Irregular,352
191855,Spotswood,Sunseeker,Gen,Single,2,587835,1,1,4,2,512,Regular,284
192808,Strathmore,Dowd,Gen,Single,2,399155,0,1,4,2,450,Regular,234
192809,Malvern,Sunseeker,Gen,Single,2,404805,0,1,4,2,451,Regular,234
192811,Collingwood,Arkley,Gen,Single,2,360115,0,1,3,2,449,Regular,172
192815,Canterbury,Woodland,Gen,Single,2,394255,0,1,4,2,448,Regular,234
192822,Deepdene,Laing,Gen,Single,2,393565,0,1,4,2,451,Regular,225
192823,Camberwell,Haring,Gen,Single,1,359335,0,1,3,2,449,Regular,160
192824,Caulfield,Nolan,Gen,Single,2,391255,0,1,4,2,448,Regular,231
192825,Hawthorn,Condor,Gen,Double,2,507945,1,1,4,2,450,Regular,395
192827,Mckinnon,Urban,Gen,Double,2,494535,1,1,4,2,451,Regular,307
192830,Elwood,Matisse,Gen,Double,2,458725,1,1,3,2,449,Regular,239
192831,Mason,Aqua,Elements,Double,2,529745,1,1,4,2,448,Regular,341
192842,Hawthorn,Streeton,Gen,Double,2,473795,1,1,4,2,448,Regular,333
194047,Collingwood,Drysdale,Gen,Single,2,673512,0,1,3,2,508,Corner,148
197408,Carlton,Dowd,Gen,Single,2,386459,0,1,4,2,660,Irregular,218
197656,Strathmore,Nolan,Gen,Single,2,755625,1,1,4,2,511,Irregular,268
197657,Thornbury,Strider,Gen,Single,2,755825,0,1,4,2,511,Irregular,264
202109,Templestowe,Dowd,Gen,Single,2,1086400,1,1,4,2,632,Irregular,240
202520,Deepdene,Arkley,Gen,Single,2,1059309,0,1,4,2,632,Irregular,225
202525,Strathmore,Haring,Gen,Single,2,1062409,0,1,4,2,632,Irregular,234
202527,Hawthorn,Condor,Gen,Double,2,1176806,1,1,4,2,632,Irregular,395
203592,Ormond,Laing,Gen,Single,2,756612,1,1,4,2,508,Corner,263
203659,Strathmore,Laing,Gen,Single,2,438765,0,1,4,2,692,Regular,251
